No.,Object Name,RA-s,Dec-s,RA,Dec,Object Type,cz (Velocity),Redshift (z),z flag,Reference,Note,Photometry,Position,Redshift,Diameter,Distances,Classification,Images,Spectra,is_m31_subgroup
56,Andromeda V,01h10m17.1000s,+47d37m41.001s,17.57125,47.628056,G,-397.2250069,-0.001325,UUN,157,1,2,26,9,0,8,5,0,0,1
57,GALEXMSC J234534.33+384303.7,23h45m34.3324s,+38d43m03.755s,356.3930519,38.71770971,G,-137.0051494,-0.000456999987,SUN,80,1,19,28,12,0,7,10,15,0,
58,Andromeda VI,23h51m46.3000s,+24d34m57.000s,357.942917,24.5825,G,-340.8640247,-0.001137,UUN,157,0,5,21,7,0,13,10,0,0,1
59,Cetus Dwarf Spheroidal,00h26m10.9999s,-11d02m39.998s,6.545833,-11.044444,G,-87,-0.0002902007628,SUN,109,1,2,23,7,0,8,7,1,0,
60,PGC1 2801026 NED001,16h13m48.0000s,+54d22m15.999s,243.45,54.371111,G,-139.40349,-0.00046499999,SUN,85,1,16,24,10,0,5,8,11,0,
61,GALEXASC J135433.63+041438.4,13h54m33.5964s,+04d14m38.317s,208.6399853,4.243977066,G,287.2011805,0.000958000019,SUN,79,2,26,32,14,0,5,7,11,2,
62,Andromeda VII,23h26m31.6999s,+50d40m32.998s,351.632083,50.675833,G,-307,-0.001024041772,SUN,152,1,2,23,7,0,7,7,0,0,1
63,HIZSS 003B,07h00m23.3300s,-04d12m55.100s,105.0972083,-4.215305556,G,322.5766968,0.00107600004,UUN,7,0,1,3,1,0,0,0,0,0,
64,HIZSS 003A,07h00m29.3000s,-04d12m30.000s,105.1220833,-4.208333333,G,288.100547,0.000960999983,UUN,8,1,1,3,2,0,0,0,0,1,
65,Andromeda IX,00h52m52.9999s,+43d11m44.998s,13.220833,43.195833,G,-209.2551357,-0.000698,UUN,122,0,2,23,8,0,6,6,0,0,1
66,Canis Major Dwarf,07h12m34.9999s,-27d40m00.001s,108.145833,-27.666667,G,,,,36,0,1,5,0,0,7,5,0,0,
67,WILLMAN 1,10h49m21.0000s,+51d03m00.000s,162.3375,51.05,G,-12.89107569,-4.30E-05,UUN,175,0,1,24,9,0,5,3,0,0,
68,UMa Dwarf,10h34m52.8000s,+51d55m12.000s,158.72,51.92,G,-55,-0.0001834602524,SUN,212,0,1,15,5,0,6,6,0,0,
69,CVn dSph,13h28m03.4999s,+33d33m20.998s,202.014583,33.555833,G,30.9,0.0001030713054,UUN,184,0,0,25,9,0,9,8,0,0,
70,Andromeda X,01h06m33.7053s,+44d48m17.502s,16.6404388,44.8048619,G,-163.9864745,-0.000547,UUN,94,0,14,23,7,0,3,2,0,0,1
71,Bootes Satellite,14h00m06.0000s,+14d30m00.000s,210.025,14.5,G,99.83088851,0.000333,UUN,281,0,1,21,6,0,10,8,0,0,
72,Ursa Major II Dwarf,08h51m30.0000s,+63d07m48.000s,132.875,63.13,G,-116,-0.0003869343504,SUN,230,0,1,28,9,0,4,4,0,0,
73,Andromeda XI,00h46m19.9999s,+33d48m05.000s,11.583333,33.801389,G,-425.1057054,-0.001418,SUN,100,0,1,27,9,0,7,4,0,0,1
74,Andromeda XII,00h47m27.0000s,+34d22m28.999s,11.8625,34.374722,G,-557.014387,-0.001858,UUN,90,0,1,25,9,0,6,4,0,0,1
75,Andromeda XIII,00h51m51.0000s,+33d00m15.998s,12.9625,33.004444,G,-185.271739,-0.000618,UUN,94,0,1,26,9,0,7,4,0,0,1
76,Coma Berenices Dwarf,12h26m58.9999s,+23d54m15.001s,186.745833,23.904167,G,98,0.0003268928133,SUN,201,0,1,27,6,0,4,4,0,0,
77,CVn II dSph,12h57m10.0000s,+34d19m14.998s,194.291667,34.320833,G,-129,-0.0004302976828,SUN,143,0,1,28,7,0,8,7,0,0,
78,Segue 1,10h07m04.0000s,+16d04m54.998s,151.766667,16.081944,G,208.3557583,0.000695,UUN,220,0,1,22,9,0,3,2,0,0,
79,Hercules dSph,16h31m01.9999s,+12d47m30.001s,247.758333,12.791667,G,45,0.0001501038428,SUN,242,0,1,27,6,0,14,7,0,0,
80,Leo IV,11h32m57.0000s,-00d32m00.000s,173.2375,-0.5333333333,G,132,0.0004403046057,SUN,222,0,1,24,7,0,8,4,0,0,
81,Leo T,09h34m53.4000s,+17d03m05.000s,143.7225,17.051389,G,37,0.0001234187152,SUN,187,0,5,34,13,0,13,10,0,1,
82,Bootes II,13h58m00.0000s,+12d51m00.000s,209.5,12.85,G,-130.4,-0.0004349675801,SST,159,0,1,14,5,0,5,4,0,0,
